Unnamed: 0,Customer ID,Age,Gender,Marital Status,Income Level,Education,Occupation,Residential Status,Dependents,Debt-to-Income,Credit_Bureau,last_3months_personal_loan_inq,last_3months_credit_card_inq,last_3months_mortgage_inq,last_6months_personal_loan_inq,last_6months_credit_card_inq,last_6months_mortgage_inq,Name,Review,Category
0,3d06c8d0-ebc7-45fd-bfaf-e10fcfed1c7c,56,Male,Divorced,High,University,"Psychotherapist, child",Owns house,"(0,)","(0.37,)",801,False,True,True,False,True,False,Quinn Lee,I love their credit card rewards program. Cashback and travel perks make it worth using for daily expenses.,Luxury
1,29ff97c8-7c46-4da7-9b5b-3aa8dde8da5b,56,Male,Single,Medium,University,Diplomatic Services operational officer,Living with parents,"(3,)","(0.11,)",835,False,True,True,False,True,False,Paul Taylor,"Investment options are diverse, but I'd appreciate more guidance on portfolio management.",Luxury
2,bb43e090-ba19-4d5c-91d7-e500612d92b9,51,Female,Widowed,Low,College,Hydrographic surveyor,Rents,"(3,)","(0.33,)",796,True,False,True,False,False,True,Noah Martin,I appreciate the bank's strong fraud protection measures. I was alerted instantly when an unauthorized transaction was attempted.,Mid Income
3,7d431b5f-5c67-4073-af3f-4eb2b574852f,29,Male,Single,Low,College,Housing manager/officer,Rents,"(4,)","(0.38,)",810,False,True,True,True,False,False,Emma Johnson,More competitive foreign exchange rates would make this bank even better for international travelers.,Mid Income
4,9dbac557-be11-4a84-934f-9d5a531f8d34,44,Male,Divorced,High,University,"Teacher, music",Living with parents,"(2,)","(0.33,)",790,True,False,True,True,True,False,Noah Rodriguez,"Their mortgage plans are transparent, and the loan officers are very knowledgeable and helpful.",Mid Income
5,2a8eaa29-453e-4fce-8395-fec5ffdc7276,32,Female,Single,Low,College,Building control surveyor,Owns house,"(5,)","(0.14,)",791,True,True,False,True,True,True,Tina Taylor,"They offer a great range of financial products tailored to different needs, from students to business owners.",Travel
6,f856963b-0761-4353-9aa8-636352fc2f30,33,Male,Single,Medium,University,Radio producer,Owns house,"(1,)","(0.33,)",761,False,True,True,True,True,False,Grace Scott,Competitive interest rates and excellent customer support make this bank my preferred choice.,Luxury
7,8cc7fd75-8375-496a-86b6-d0651f10b49b,64,Male,Married,Low,University,Make,Living with parents,"(0,)","(0.27,)",795,True,False,False,False,True,True,Alice White,"Investment options are diverse, but I'd appreciate more guidance on portfolio management.",Luxury
8,71c8c338-de28-44f7-9266-ba84b95e8cdd,39,Male,Divorced,High,University,"Surveyor, insurance",Living with parents,"(3,)","(0.1,)",833,True,False,False,True,True,False,Isla Parker,Competitive interest rates and excellent customer support make this bank my preferred choice.,Travel
9,5ffb61f8-aff4-437e-8d6e-9623ba10da0a,61,Male,Single,Medium,University,Fashion designer,Rents,"(0,)","(0.32,)",789,False,False,True,True,True,False,Rachel Martin,I love their credit card rewards program. Cashback and travel perks make it worth using for daily expenses.,Mid Income
